name,popularity,followers,pagerank,closeness_cent,clustering,deg_cent,degree,num_collaborators,sum_collaborators_popularity,sum_collaborators_in_playlist,in_playlist
Micah,6,1874,6.936574911652735e-05,0.2057141585011642,0.0714285714285714,0.000221116639027,8,8,84,0,0
Trodd,8,3936,4.058950551578972e-05,0.257251030795724,0.1,0.0001381978993919,5,5,39,0,0
Advaitham.,0,45,1.1153868627976008e-05,0.2050468656807337,0.0,2.763957987838585e-05,1,1,0,0,0
Sabrina Carpenter,95,13640801,0.0001210308213915,0.2201381138452434,0.0116959064327485,0.0005251520176893,19,20,1325,3,1
Mark Ronson,77,1129973,0.0001284169028704,0.186934588265524,0.0065359477124183,0.0004975124378109,18,19,1196,1,0
girl in red,78,7577980,4.971218444498154e-05,0.2580293524794228,0.1333333333333333,0.0001658374792703,6,7,314,2,1
Charlie Puth,82,23379593,4.656146009482833e-05,0.1912429564253218,0.1785714285714285,0.000221116639027,8,9,731,1,0
Dan + Shay,70,3187442,2.7434874298013543e-05,0.1828998780897227,0.1666666666666666,0.0001105583195135,4,5,382,1,0
Coi Leray,72,841104,8.869935079964076e-05,0.2189513999424285,0.0380952380952381,0.0004145936981757,15,13,907,0,0
Quarterhead,62,18281,0.0001339078131472,0.1900846875018355,0.0,0.0005251520176893,19,19,1045,0,0
Fin Argus,39,11926,3.213254405228158e-05,0.184043664458212,0.0,0.0001105583195135,4,5,269,1,0
Zara Larsson,78,10575720,4.881885230697897e-05,0.1959116182669147,0.0,0.000221116639027,8,6,450,1,0
Alan Walker,82,39629819,0.0001246442891422,0.2179016493388471,0.0263157894736842,0.0005527915975677,20,15,1016,2,1
Farruko,84,16061694,0.000169072903311,0.2195928342751549,0.0907258064516129,0.0008844665561083,32,11,652,0,0
Marian Hill,54,475696,8.902989325640194e-05,0.1848823717992564,0.0,0.0002763957987838,10,9,376,0,0
Dave Audé,49,15440,0.0001358852064034,0.1832218816309243,0.0,0.0003869541182974,14,13,492,0,0
