name,popularity,followers,num_collaborators,sum_collaborators_popularity,sum_collaborators_in_playlist,in_playlist
Chris Stapleton,83,7651447,6,337,0,0
Cardi B,81,24568653,12,542,1,0
Gucci Mane,78,5672697,3,78,0,0
Kodak Black,82,11066005,5,149,0,0
James Hype,71,397342,17,499,0,0
David Guetta,90,26325999,10,476,2,0
R3HAB,75,2553872,20,437,0,0
PARTYNEXTDOOR,83,7304315,8,388,0,0
BLVK JVCK,38,20838,12,38,0,0
Lil Wayne,87,15446409,4,325,0,0
B.o.B,75,2097621,3,75,0,0
Bad Meets Evil,61,1713949,3,154,0,0
Travie McCoy,66,404083,9,66,0,0
Snoop Dogg,84,12752700,10,230,0,0
Wiz Khalifa,83,11303752,8,221,0,0
Summer Hits,0,3580,1,0,0,0
Major Lazer,77,6196810,12,426,0,0
Eminem,93,92019413,1,93,0,0
ROSALÍA,82,8361731,10,694,3,0
Justin Bieber,91,78227182,4,361,0,0
Khalid,85,16392488,7,336,0,0
Sofi Tukker,69,836208,15,284,0,0
Vince Staples,69,1944911,8,294,0,0
Selena Gomez,83,51003104,8,406,0,0
OneRepublic,85,17553734,11,614,1,0
YUNGBLUD,71,2438103,7,71,0,0
ヴァリアス・アーティスト,0,12100,1,0,0,0
Hans Zimmer,79,4181060,16,256,1,0
Mark Ronson,77,1129973,19,484,1,0
Charlie Puth,82,23379593,9,646,1,0
Dan + Shay,70,3187442,5,247,1,0
Coi Leray,72,841104,13,619,0,0
Quarterhead,62,18281,19,308,0,0
Fin Argus,39,11926,5,219,1,0
Farruko,84,16061694,11,364,0,0
Marian Hill,54,475696,9,122,0,0
Dave Audé,49,15440,13,49,0,0
Stargate,42,15194,17,457,1,0
Jonas Blue,74,3776079,20,661,1,0
M-22,48,87882,12,189,0,0
Dark Heart,45,11566,13,45,0,0
Lost Kings,52,391243,13,52,0,0
Jasmine Thompson,67,874122,11,249,0,0
Anitta,82,12715710,17,779,1,0
Villano Antillano,68,288242,20,354,1,0
Tokischa,72,1338597,21,716,1,0
Elyanna,72,220790,6,224,1,0
Grimes,69,2440631,10,146,1,0
Sleepnet,39,15536,11,246,1,0
Anyma,69,562488,20,307,0,0
Shygirl,65,289333,18,453,0,0
SebastiAn,45,134768,8,45,0,0
Fresku,53,82681,5,53,0,0
Stwo,46,77325,11,220,0,0
Armin van Buuren ASOT Radio,20,147136,3,96,0,0
Mara Pavanelly,51,241453,11,178,0,0
Forrozão Tropykalia,50,114054,5,178,0,0
NATTAN,77,3013542,19,612,0,0
Zaynara,45,18832,6,122,0,0
Will Love,39,481,15,193,0,0
Gaby Amarantos,43,56725,17,175,0,0
Maderito,32,262,11,191,0,0
Taty Girl,55,344634,14,132,0,0
PRISCILLA,52,981238,5,129,0,0
POCAH,55,468463,22,447,0,0
DJ Biel do Furduncinho,57,16743,24,317,0,0
Lia Clark,42,358207,10,214,0,0
Aluna,62,81046,21,353,0,0
MNEK,69,294746,18,506,0,0
O Kannalha,43,168776,16,100,0,0
MC Tchelinho,40,2352,22,150,0,0
DJ Tonias,33,553,13,343,0,0
DJ RaMeMes (O DESTRUIDOR DO FUNK),40,18432,19,341,0,0
PEDRO SAMPAIO,74,2693519,21,620,1,0
Gloria Groove,74,3417735,18,74,0,0
Mc Carol,50,249197,22,127,0,0
Vitão,59,908811,18,266,0,0
Betty Who,50,297504,6,159,0,0
Brabo,32,1074,23,295,0,0
Lexa,55,2598424,14,389,0,0
Lukinhas,54,14024,21,256,0,0
CHAMELEO,39,31234,11,158,0,0
CyberKills,42,8223,22,158,0,0
Rina Sawayama,59,1035434,8,280,0,0
Ivete Sangalo,65,2132877,4,65,0,0
Dilsinho,75,4202990,10,230,0,0
Rennan da Penha,54,178890,23,133,0,0
MARINA,74,5704703,11,317,0,0
Empress Of,55,137683,12,226,0,0
S.Pri Noir,56,571333,19,131,1,0
Disiz,58,301918,5,206,1,0
Eddy de Pretto,56,552252,5,131,1,0
Ichon,43,75018,6,118,1,0
Claire Laffut,43,125804,9,168,1,0
Molitor,34,1534,18,34,0,0
Rema,79,5553267,19,404,0,0
Jok'air,66,1235771,11,66,0,0
Puggy,43,51062,8,43,0,0
Zwangere Guy,48,62161,16,48,0,0
Vitaa,63,1302826,8,143,0,0
LaCrême,18,700,3,18,0,0
Ria Sean,30,8685,7,30,0,0
Benny Adam,32,2699,12,32,0,0
Malory,16,1530,4,72,0,0
Jen Jis,20,11313,10,87,0,0
Parimal Shais,51,38998,15,344,1,0
Shalmali Kholgade,63,155041,22,152,0,0
Vishal Dadlani,75,11840425,29,153,0,0
Karan Kanchan,55,28199,14,110,0,0
Sushin Shyam,72,1789520,7,144,0,0
Vinayak Sasikumar,72,109939,27,144,0,0
KSHMR,65,1770808,19,65,0,0
MC Couper,53,40849,19,230,0,0
ThirumaLi,54,269603,16,158,0,0
B. Ajaneesh Loknath,58,508515,7,58,0,0
Charanraj MR,58,142143,12,58,0,0
Yashraj,55,118332,20,243,0,0
Till Apes,31,9350,4,31,0,0
Vishal Bhardwaj,49,1624494,4,49,0,0
Lojal,7,4004,10,7,0,0
Arshaq Malik,5,493,8,7,0,0
47K,2,181,4,7,0,0
TATA.ev,9,18,2,84,1,0
Murane Athma,1,25,2,76,1,0
KAVYA,23,7508,14,98,1,0
The Mellow Turtle,15,81,2,90,1,0
Dropped Out,50,23608,18,160,0,0
Three Oscillators,15,5176,18,160,1,0
Buki,16,753,5,91,1,0
DG IMMORTALS,54,112678,14,161,0,0
Raga,56,440173,19,221,0,0
Ankur Tewari,47,268964,20,130,0,0
Micah,6,1874,8,6,0,0
Trodd,8,3936,5,8,0,0
Advaitham.,0,45,1,0,0,0
SWiTCH,39,7865,10,156,1,0
HAZEY,43,51427,18,223,1,0
KatManDu,32,1051,9,106,1,0
Baby K!,22,61,1,22,0,0
Amiravelli,1,155,1,1,0,0
Krbread,17,270,19,98,0,0
Backspaz,9,693,11,67,0,0
Sperax,1,92,10,45,0,0
Nathan Brumley,34,4287,35,92,0,0
HEVALEN,5,234,3,33,1,0
.anverse,7,112,28,155,0,0
Sanitune,27,594,30,239,2,0
Ydog,0,7,5,10,0,0
Acrux,7,587,22,178,1,0
Macrame music,0,1,6,16,0,0
Sakura records official樱花记录,6,68,54,6,0,0
UM,9,216,18,30,0,0
snxsn显示屏,6,2,5,25,0,0
Krzto,5,127,23,26,0,0
CaDeR,0,42,12,10,0,0
Slide Records 滑之音,0,0,9,17,0,0
Lil Baby,87,18791840,13,550,1,0
Kehlani,77,7932851,36,1227,1,0
J Rick,31,3883,15,178,1,0
DJ Smallz 732,47,36340,26,335,1,0
Deyaz,47,131544,10,262,1,0
jahmiel,51,233597,21,51,0,0
Yb Wasg'ood,49,9021,19,340,0,0
Sayfalse,71,19392,17,207,0,0
acronym.,64,13193,24,257,0,0
Valexus,62,26051,18,988,0,0
Day Wave,49,142969,6,83,0,0
Lawrence Rothman,34,9791,7,115,0,0
The Turning,32,3069,7,121,0,0
Lokoy,26,4408,11,26,0,0
OG Ron C,51,50482,27,308,0,0
GloRilla,79,1210149,13,674,1,0
RM,78,17142153,17,395,1,0
Queen,86,51656052,2,86,0,0
Latto,80,1799074,13,667,1,0
Flo Milli,73,1257845,13,317,1,0
Big Mouth Cast,31,9162,4,188,1,0
Reneé Rapp,70,973817,4,153,1,0
Danielle Brooks,28,10400,9,250,1,0
Timbaland,79,2987866,19,340,1,0
Spiritbox,66,727809,3,221,1,0
Dua Lipa,88,44884212,9,410,0,0
Shenseea,69,867012,7,383,1,0
Jimmy Fallon,40,67368,17,606,1,0
Maluma,86,34778471,9,165,0,0
Rock Mafia,53,58582,11,389,1,0
BTS,87,76395358,1,87,0,0
Marshmello,84,33847990,15,147,0,0
NITTI,48,90232,17,147,0,0
Bobby Sessions,30,17147,2,113,1,0
Joel Corry,72,437639,24,660,0,0
DJ Chose,44,58868,4,44,0,0
Young Coco,41,21750,9,164,0,0
Jin Dogg,53,82603,8,164,0,0
YEONJUN,71,539977,4,146,1,0
Tokyo Machine,50,224618,11,284,2,0
TIFFVNYJOY,30,369,12,172,2,0
Bailey Pickles,37,7686,5,161,2,0
Ian Asher,65,130560,21,724,3,0
NUEKI,68,297159,3,68,0,0
K-391,65,399812,15,189,2,0
Chase Bandz,9,897,7,70,1,0
Hook N Sling,49,31404,23,699,0,0
SPIRIT LINK,27,3054,10,132,1,0
Aviella,46,9858,7,109,1,0
Logic,75,6096623,4,201,1,0
Afinity,40,5739,22,177,1,0
Protostar,39,44167,15,102,1,0
Leah Kate,58,240959,3,176,1,0
TK from Ling tosite sigure,59,458756,2,122,1,0
ClariS,52,462110,1,52,0,0
Desiigner,62,3515942,7,245,0,0
DJ Whoo Kid,43,71527,13,168,1,0
Mackenzie Sol,25,24952,5,88,1,0
Volt,24,3600,10,87,1,0
EVE,15,817,9,78,1,0
Justin Timberlake,83,14636535,14,614,1,0
Trolls,41,80455,5,202,1,0
Alabama,67,1466501,1,67,0,0
Blaque,46,507539,4,133,0,0
Gloria Estefan,64,813610,3,64,0,0
Joe,66,1966422,6,66,0,0
Christmas Songs,0,5703,1,0,0,0
NakyMine,32,310,20,190,2,0
Alizée,53,222257,3,53,0,0
