name,popularity,followers,num_collaborators,sum_collaborators_popularity,sum_collaborators_in_playlist,in_playlist
Jon Hopkins,66,521503,10,233,0,0
Caroline Polachek,66,553650,11,259,0,0
Bb trickz,64,249983,10,153,0,0
The Japanese House,66,738218,4,155,0,0
Troye Sivan,79,8474583,11,226,0,0
Lorde,78,10069926,4,244,0,0
Robyn,66,846486,15,288,0,0
Yung Lean,69,990998,9,371,0,0
Skream,46,134238,17,259,0,0
Benga,37,59462,8,172,0,0
Addison Rae,75,424469,4,228,0,0
Sam Smith,84,24498778,10,261,0,0
jamesjamesjames,44,22854,16,133,0,0
George Daniel,44,11412,11,199,0,0
yunè pinku,45,26343,9,175,0,0
Dopamine,62,6737,19,358,0,0
Jodie Harsh,40,13478,16,419,0,0
VERNON,45,408294,13,238,0,0
Perfume Genius,52,395538,11,205,0,0
Christine and the Queens,60,714930,6,129,0,0
THAT KIND,43,11463,10,259,0,0
MAR5,25,201,13,202,2,0
MWH,34,257,12,357,2,0
Spampi J,10,140,4,45,1,0
MALØ,35,106,8,169,2,0
Ade,28,375,8,134,2,0
DEVSA MUSIC,7,46,9,95,1,0
DEVSA,4,29,8,89,1,0
Back2Moon,22,6962,18,189,1,0
Naitroz,0,392,5,62,1,0
JMRA,22,907,12,59,1,0
Michelangelo Falcone,2,171,4,59,1,0
Amelie Rose,28,219,8,212,1,0
Scott Rill,51,28473,9,104,0,0
Altrøx,44,1737,10,230,2,0
JeLa,44,1018,24,366,1,0
TECHNO KING,65,10641,29,222,0,0
Ali Schwartz,39,486,20,416,2,0
Lotus,44,2739,14,134,1,0
Jan Liva,44,462,18,187,1,0
Ben Plum,46,2009,21,188,1,0
Xblaze,42,1709,9,42,0,0
NEMESIS,36,2116,19,517,2,0
Elise Lieberth,49,13075,21,284,1,0
Shunichi Komazu,28,970,17,205,1,0
Fenox,12,381,9,121,1,0
ATHYN,51,4197,23,612,0,0
Luc Rushmere,30,768,22,339,1,0
HALUNA,60,8995,20,249,0,0
B.R.T,54,4910,19,238,1,0
Robbie Rosen,51,19229,25,149,0,0
Charis,27,483,16,270,1,0
Midnight Addiction,4,94,7,147,1,0
Paul Keen,52,6589,32,52,0,0
OVERHEAT,34,684,26,346,1,0
PACANI,56,2718,32,275,0,0
Sofia Derobertis,6,1282,7,109,1,0
Benlon,40,2261,22,172,0,0
5lowers,33,768,16,165,1,0
Clarees,40,1263,21,201,1,0
Old Jim,63,10526,24,254,0,0
Onur Ormen,43,10366,15,194,0,0
Farux,40,2867,18,483,1,0
Hannah Gracelynn,37,1087,11,168,1,0
Nito-Onna,63,14990,23,230,0,0
Coopex,56,34275,26,1047,0,0
Cour,52,5487,19,432,1,0
Robbe,56,12475,27,488,1,0
Mert Can,40,2848,27,294,0,0
Anna-Sophia Henry,48,1734,23,159,0,0
Fedo,24,743,15,138,2,0
Westerlund,44,1152,31,515,1,0
Emily Fox,42,841,30,350,1,0
Amaranth Skies,51,433,21,195,1,0
Brandon Chase,52,7335,15,253,1,0
Adrian Knows,35,473,12,202,1,0
Koa,44,1114,27,316,1,0
Medusa,51,3654,27,474,1,0
Lonelysoul.,51,4073,18,338,1,0
Hubbe,36,295,17,351,1,0
Intellios,29,174,8,133,1,0
Emelie,28,452,12,101,1,0
DJ Fluke,55,10803,21,239,1,0
SBSTN,44,701,21,143,1,0
SAMMY & LESEN,44,23947,16,379,1,0
Amero,56,8452,26,379,0,0
Hallasen,45,2999,19,336,1,0
Lawstylez,52,3765,19,329,1,0
SADBOY,22,627,24,434,1,0
Merzost,29,368,5,167,1,0
SSR,23,473,7,67,1,0
KORA,37,605,19,145,1,0
Millows,48,1829,23,423,1,0
Oscar Jamo,22,2266,11,66,1,0
Turns,30,316,12,122,1,0
R3JA,24,73,17,449,3,0
Gabriel Eli,25,426,19,93,1,0
NYK,0,2,3,100,1,0
Kaynex,22,154,4,129,1,0
Jon Nelson,13,118,3,101,1,0
Kilian K,54,9739,28,489,1,0
Julia Hallasen,49,960,15,338,1,0
13imperial,19,575,12,102,1,0
xaina,6,43,4,106,1,0
Lady Yasmina,4,696,3,104,1,0
Tori White,7,111,5,107,1,0
Eirik Næss,59,1584,27,178,0,0
Saxena,56,3247,26,219,0,0
KRYAS,32,637,8,244,1,0
Timebelle,42,10387,9,122,1,0
URBANO,51,1548,20,351,1,0
Anekdote,31,419,28,327,1,0
Blue Man,35,3138,11,186,0,0
Wyko,27,5017,21,162,1,0
Van Snyder,37,8033,17,37,0,0
Biosyrup,6,395,4,33,1,0
18 Hands,6,208,4,33,1,0
Medyk,36,1413,24,187,1,0
Lektrique,41,19294,12,145,0,0
BETASTIC,45,11708,28,679,2,0
Olympis,42,9205,19,306,1,0
Krayoni,36,202,12,328,1,0
Rawanne,37,1017,19,115,1,0
Techy Chan,46,978,23,544,1,0
theajsound,30,2644,14,118,1,0
K3YN0T3,42,951,27,649,3,0
GRHHH,37,1988,27,328,1,0
MikT,25,361,6,169,1,0
Rixbøi,20,259,7,158,1,0
NeverSleepSongs,24,1815,21,89,0,0
Tamaz,26,367,18,105,1,0
Levis Della,37,2360,14,37,0,0
INDI,16,560,13,58,1,0
Joaquin Phoenix,56,21303,6,148,1,0
Cast of Joker: Folie à Deux,0,557,3,148,1,0
Tony Bennett,63,953806,10,155,1,0
Bradley Cooper,71,263688,11,221,1,0
The Rolling Stones,80,14549122,1,80,0,0
Banda S. Cecilia Città di Norma,13,44,4,117,1,0
Matteo di Prospero,12,21,4,117,1,0
WEISS,57,87054,13,342,1,0
Bruno Martini,64,159185,17,144,0,0
Honey Dijon,55,126096,18,375,0,0
Ralphi Rosario,36,14862,16,220,1,0
Purple Disco Machine,74,748371,16,231,0,0
BloodPop®,59,31041,12,633,1,0
BURNS,53,39204,13,251,1,0
Chris Ramos,25,5611,8,124,1,0
Valmonte,8,1340,5,37,1,0
REEST,6,60,10,35,1,0
SAKKO,45,539,8,74,1,0
MXJ,17,816,17,71,1,0
Phat Suppli,9,632,7,9,0,0
Paul van Dyk’s VONYC Sessions,0,406,1,0,0,0
Michael Ace,16,236,12,69,1,0
Toryn,22,122,13,94,2,0
BÔN,24,1606,13,253,3,0
Newman,14,116,9,177,2,0
Axel,11,153,10,136,2,0
DFAN,6,239,17,85,1,0
MSFT,9,96,7,28,1,0
LostVolts,24,738,30,519,3,0
H Lazer,15,2796,15,102,2,0
PLV Music,24,1725,16,166,1,0
EMPERE,7,207,21,48,1,0
TrisTunez,2,139,15,26,1,0
HHMR,22,1197,25,373,0,0
JWoods,17,182,10,81,0,0
Nightcore To The Moon,36,1875,7,71,0,0
Marin Hoxha,46,12873,21,164,1,0
MØRFI,35,6583,22,338,0,0
Desno,41,2340,12,144,0,0
Aethen,1,53,4,18,0,0
ARKO,10,371,10,104,1,0
Intryx,8,345,8,10,0,0
FirstOFive,2,79,14,87,0,0
Zenit,0,313,2,24,0,0
Slowed Star,15,105,2,44,0,0
Stardust,29,873,3,72,0,0
Nightcore Star,28,653,2,57,0,0
Trevor Spitta,51,18336,2,131,1,0
Nate Dae,29,4490,4,109,1,0
mynameisntjmack,53,29333,7,191,1,0
Perry Maysun,45,38261,5,45,0,0
Stevan,30,10800,4,110,1,0
Borilin,24,1319,6,104,1,0
Sækyi,26,6206,9,127,1,0
Rooftop Collective,21,624,25,127,1,0
Frank Sativa,46,52195,5,46,0,0
KADOLEAF,26,458,5,159,1,0
thebaremax,17,390,4,113,1,0
GLENWORLDTOUR,16,87,6,139,1,0
Brent Faiyaz,85,6615257,10,491,1,0
ISO Supremacy,56,3094,5,189,0,0
DJ Candlestick,48,10223,23,333,0,0
Paco,44,5615,6,175,1,0
Shy High,41,39357,2,41,0,0
JENNIE,82,7579155,10,403,1,0
Lily-Rose Depp,77,198357,6,352,1,0
Diddy,75,1790769,12,408,1,0
French Montana,76,5546988,7,282,0,0
Travis Scott,94,33905589,15,963,3,0
Bad Bunny,95,86493993,14,530,1,0
Suzanna Son,51,28037,6,357,1,0
Moses Sumney,54,374530,7,150,1,0
MIKE DEAN,46,90289,12,404,1,0
Metro Boomin,90,9471148,10,767,1,0
Summer Walker,81,6930165,12,431,1,0
Sebastian Ingrosso,62,972613,11,291,1,0
Salvatore Ganacci,54,204034,14,258,1,0
KAYTRANADA,74,1564284,16,585,1,0
Swedish House Mafia,77,3847237,12,242,0,0
Moojo,53,28135,23,276,1,0
Post Malone,92,45629605,10,736,0,0
Kanye West,93,27677477,8,405,0,0
Belly,56,250245,4,237,1,0
Young Thug,85,10609474,6,495,0,0
Sabrina Claudio,63,1685067,9,571,1,0
¥$,79,824955,14,998,1,0
Don Toliver,87,5151082,14,803,1,0
Camila Cabello,82,33948370,13,421,1,0
ABRA,56,282310,12,388,1,0
Boys Noize,58,293470,10,123,0,0
SAFE,45,173554,3,45,0,0
DRAM,59,849471,10,59,0,0
Drake,96,92867853,4,278,1,0
Mustard,74,1363020,13,557,0,0
Lil Yachty,81,10242470,12,605,0,0
Lil Uzi Vert,86,17861578,5,405,0,0
Quality Control,65,1410673,19,549,0,0
A$AP Ferg,73,3911441,19,520,0,0
Pi’erre Bourne,62,1045745,11,208,0,0
88rising,67,989911,14,273,0,0
A$AP Mob,59,2165721,5,132,0,0
NAV,73,3496991,9,326,0,0
Lana Del Rey,92,40911602,7,156,0,0
LUCKI,79,1258313,4,139,0,0
Ethereal,53,79605,2,53,0,0
Chief Keef,78,5221517,4,146,0,0
Joy Orbison,53,118985,10,127,0,0
Southside,60,130258,18,910,0,0
HoodRich Pablo Juan,49,530008,7,111,0,0
UnoTheActivist,55,485158,6,314,0,0
Jnr Slice,32,51532,8,66,1,0
Offset,80,4479120,20,993,1,0
Burna Boy,81,10419229,10,421,1,0
Mariah the Scientist,66,516482,12,817,1,0
Lil Durk,82,8109909,3,169,0,0
d4vd,80,3041467,4,169,1,0
USHER,83,12279645,7,233,0,0
BabyDrill,55,70629,12,523,1,0
Young Nudy,71,1530603,7,277,1,0
Nas,74,3929591,3,146,0,0
DJ Khaled,77,11707859,14,665,1,0
Madmarcc,29,24596,4,118,1,0
YG,74,3357338,11,398,0,0
Pharrell Williams,81,4852654,27,1271,1,0
"Tyler, The Creator",88,16860966,6,408,1,0
Hunxho,67,317800,10,659,0,0
Fireboy DML,73,3230271,13,375,0,0
Blxst,69,524931,14,529,0,0
King Von,78,5274353,12,484,1,0
Rick Ross,77,7379548,9,241,0,0
Jazmine Sullivan,62,2099570,8,228,1,0
Nardo Wick,67,1314895,16,832,0,0
YBN Nahmir,62,2995798,21,419,1,0
Real Recognize Rio,27,5382,2,27,0,0
Alicia Keys,81,12161981,5,81,0,0
Jhené Aiko,79,8396484,6,229,0,0
Swae Boy,41,272,29,662,2,0
MITCH DB,56,5731,24,211,1,0
CMAGIC5,43,19510,18,240,1,0
Richie Holm,24,189,11,257,2,0
Ropsu,29,234,17,484,3,0
Zusebi,43,10544,15,356,1,0
Mal,42,456,29,793,4,0
Marcos Veiga,11,387,5,97,1,0
BASTL,45,5521,24,336,1,0
AKOJ,38,418,11,38,0,0
MRTY,39,2009,21,312,1,0
Nick Giardino,36,323,18,353,1,0
Manda Malina,26,3961,16,148,1,0
M-T3CK,42,693,22,613,0,0
New Beat Order,57,22383,28,483,0,0
MEYSTA,42,2737,17,181,1,0
Cuervo,36,1007,19,519,1,0
Blaze U,57,14078,19,310,0,0
lace.,40,731,16,319,1,0
Tyler0112,25,639,15,99,1,0
Oliver Roberts,33,399,7,58,0,0
Mirk,32,375,14,410,0,0
FELLAS,22,111,8,133,1,0
Samarth Goel,24,80,14,215,1,0
Rogix,14,200,5,71,1,0
CHXBB,25,3017,6,176,1,0
DOXIC,33,182,11,288,1,0
Sandra Garupe,18,78,5,95,1,0
SRJY,30,290,15,249,1,0
L E V I N E,25,47,4,111,1,0
A17N,38,469,25,235,1,0
Edmondsski,23,1466,9,105,1,0
Ola Martin,37,431,14,215,1,0
David Emde,49,1687,22,216,1,0
Tc-5,36,5464,19,328,1,0
Wheelz AC,18,590,8,130,1,0
Project Pat,68,874799,13,219,0,0
Royce Nightly,34,246,15,261,1,0
T3CHN0T3,32,129,10,247,1,0
Meta,15,49,4,88,1,0
NG,18,2739,6,87,1,0
tekknological,37,1438,13,367,1,0
Pesukone,33,4345,15,33,0,0
Brod-Sky,20,785,6,89,1,0
John Bosco,11,2318,4,11,0,0
Manfred Hager,0,0,2,28,1,0
Freaky DJs,38,3501,24,244,1,0
KHAG3,16,781,5,82,1,0
Mondorro,25,613,11,152,0,0
PressPlays,26,383,10,131,0,0
Ghxstoon,5,286,7,5,0,0
Irito Kazuto,25,236,9,48,0,0
Axciss,0,10,3,25,0,0
DJ Snake,79,8886126,17,598,0,0
Ozuna,87,37557791,14,587,0,0
TAEYANG,64,1463653,5,131,0,0
Flo Rida,81,8678830,11,163,1,0
Pritam,89,39885652,10,249,0,0
Vishal Mishra,78,5403663,16,927,0,0
Joe Jonas,62,1751161,11,462,1,0
Julia Michaels,74,5080231,7,74,0,0
Ina Wroldsen,62,177869,8,352,2,0
Kylie Cantrall,66,245634,7,447,1,0
Daya,72,1677205,8,376,1,0
Sofiloud,51,5787,13,266,1,0
YUQI,60,777819,8,208,1,0
Tribbs,66,165277,27,418,1,0
Putri Ariani,54,338292,5,195,1,0
Peder Elias,59,108263,8,195,1,0
XiJaro & Pitch,43,11839,17,156,1,0
DubVision,56,320509,12,292,1,0
Emma Hewitt,50,98434,15,140,0,0
RetroVision,47,96960,11,320,1,0
Dyson,38,3102,21,333,1,0
Masked Wolf,64,751848,15,124,1,0
Shaun Farrugia,49,9330,6,220,1,0
Ben Nicky,55,120390,23,266,1,0
Sidemen,37,193695,6,145,1,0
Jonny Fitch,24,107,6,121,1,0
James Bluck,24,1064,15,166,1,0
Kemi,25,355,15,250,1,0
Nil Martorell,22,317,15,259,1,0
Nick Hagelin,10,1443,9,59,1,0
Stormbreaker,3,69,4,29,1,0
Syxe,2,30,6,69,1,0
KILIAM,15,278,17,275,2,0
RALYFF,10,425,22,241,1,0
Alan Krevo,24,1557,10,69,2,0
MagLix,13,394,19,166,1,0
Jordy Copz,17,336,14,42,1,0
Nariz,10,137,9,128,1,0
Frezdlee,4,91,10,38,1,0
The Monkets,6,89,4,62,1,0
Nalty,1,132,3,50,1,0
DSalva,7,288,10,31,1,0
Tweellve,18,549,13,101,1,0
Fabroox,2,61,6,64,1,0
Ozee,14,89,9,161,1,0
WorK BroZ,0,77,3,24,1,0
Maxxteen,32,517,14,74,0,0
Lucardi,3,62,4,44,1,0
MusicbyDz,0,25,4,24,1,0
VT,3,76,5,27,1,0
OULHAJ,0,0,2,24,1,0
FarKnown,22,1512,15,146,0,0
Freddie Alva,13,430,15,78,0,0
Dreirox,1,85,8,48,1,0
Nick West,6,38,4,26,1,0
Maksjaxx,1,249,13,37,1,0
4YÛ,18,210,13,166,1,0
Robbie Hutton,40,1469,25,248,6,0
Ellikerz,18,123,4,38,1,0
Himself TheMajor,0,91,7,24,1,0
Bvse,4,287,7,24,1,0
Ma3sc3ol,7,75,6,7,0,0
Nahthexen,23,368,15,91,3,0
Sewrreex,0,38,7,43,1,0
Zerolow,16,187,11,52,1,0
Bertuss,16,269,11,53,1,0
Jzaff,0,99,12,61,1,0
POIZZONED,14,1909,11,14,0,0
Dj Crime,3,398,8,3,0,0
Sandëro,47,4431,13,225,1,0
Carl Lazy,47,2282,9,180,1,0
Bad Boyfriend,36,14777,6,158,1,0
WHOCARES,46,4065,22,224,1,0
NUBLANC,22,402,8,123,1,0
Joel Coopa,44,2320,26,146,1,0
Abov,23,539,5,120,1,0
Daniel Best,45,2504,23,191,1,0
KDH,40,6197,21,189,1,0
Anzano,7,336,6,115,1,0
Gianni Petrarca,16,328,21,129,1,0
Le Boeuf,42,6559,21,85,0,0
Jack Shore,35,21648,12,72,0,0
David Hopperman,27,2365,12,27,0,0
Danny Trexin,24,494,7,158,2,0
Regard,69,262114,17,724,1,0
Galantis,71,3387002,15,207,0,0
Jeremy Zucker,70,2281077,8,155,1,0
TELYKAST,51,66679,17,51,0,0
Jonasu,50,17551,14,109,0,0
NOTD,62,311454,14,62,0,0
Moore Kismet,34,36487,11,34,0,0
Ali Gatie,67,2096800,5,67,0,0
Luca Schreiner,52,10918,18,418,0,0
SAYGRACE,60,207922,9,245,1,0
Audrey Mika,48,162471,9,48,0,0
Sean Lew,29,2788,3,114,1,0
blackbear,75,4984930,12,154,0,0
Cl04k,28,729,13,67,1,0
Toxic Wraith,23,1749,15,86,1,0
The Everythingz,2,91,7,14,1,0
K3ATH,1,24,4,13,1,0
Hedclem,8,740,15,77,1,0
Elaan,10,227,4,30,1,0
DNTK,0,0,2,12,1,0
LUCKY DEMON,53,3748,17,393,1,0
Mr Demon,61,7628,11,61,0,0
PET3RPUNX,54,6965,21,370,1,0
itsAirLow,37,808,14,319,1,0
Lorenz Koin,29,721,11,298,1,0
Michael Ford,44,3654,23,145,1,0
D'Amico & Valax,35,5884,18,146,1,0
Luxor,38,455,18,153,1,0
JJL,23,991,9,95,1,0
Lxvrich,27,4385,10,72,1,0
Xtinctor,15,794,14,108,1,0
MordanEyez,15,663,10,52,1,0
HERDD,13,859,14,142,1,0
Amir Sohrab,10,135,7,76,1,0
DIPMA,2,200,5,24,1,0
Mr. Mess,7,340,4,29,1,0
Catherine Sunday,15,302,12,60,1,0
Elision,6,675,12,49,1,0
Wisnu Prasetya,2,276,10,31,1,0
Wace,8,424,19,130,1,0
HIRAD,20,6808,10,89,1,0
Sofus Wiene,13,765,16,89,0,0
musicbyLukas,17,9269,9,30,0,0
Bromage,38,1298,11,75,1,0
Conor Robertson,25,342,21,86,1,0
Mash West & Calab Baley,6,155,3,18,1,0
Friendz By Chance,14,928,17,262,2,0
Daniel Hein,21,1321,20,190,1,0
EA Sports Madden NFL,24,3058,15,446,2,0
Swae Lee,81,2348648,28,1197,1,0
Spillage Village,51,240766,6,192,1,0
EARTHGANG,63,873102,11,325,1,0
BIA,67,598734,19,850,1,0
21 Lil Harold,45,29310,9,265,1,0
Mick Jenkins,58,647826,11,189,1,0
NewJeans,82,9325899,5,298,1,0
Jon Batiste,60,498644,4,129,0,0
Dreamville,66,708741,11,482,1,0
Lute,58,226603,11,289,1,0
Trueno,80,7815067,11,321,1,0
Mike Dimes,60,231742,10,341,1,0
John Legend,77,7125574,5,77,0,0
Token,51,465734,5,185,0,0
Imagine Dragons,89,54977750,5,171,0,0
Arcane,73,218250,20,533,1,0
Masego,72,1446833,13,130,0,0
Big Boi,55,448016,13,205,1,0
Denzel Curry,73,2639966,18,625,0,0
Conway the Machine,62,337893,9,62,0,0
IDK,58,495401,5,219,0,0
Kenny Mason,60,188508,8,316,1,0
Smino,68,975196,16,464,0,0
Kenny Beats,62,210509,18,249,0,0
Wynne,38,53495,3,38,0,0
Free Nationals,62,323725,18,711,1,0
Kadhja Bonet,50,107795,6,257,1,0
Bas,67,591096,18,331,0,0
Foster The People,75,3855995,8,136,0,0
Saba,61,777536,11,129,0,0
J. Cole,87,24807834,12,688,0,0
Lyrical Lemonade,60,168895,10,368,0,0
SAINt JHN,69,1085758,14,563,0,0
Ari Lennox,63,820488,11,229,0,0
League of Legends,78,1908668,5,151,0,0
DJ Hollygrove,10,1822,19,78,0,0
Prof,60,247649,10,223,0,0
Ghosttown,42,961,11,170,0,0
Sophie Powers,49,68331,19,250,0,0
Charisse Sky,19,153,3,87,0,0
Leaf,35,8383,5,103,0,0
Sped Up Songs + Nightcore,54,27067,13,307,0,0
Slowed Down Songs + Reverb,34,1125,15,547,0,0
MFS,47,22493,13,186,0,0
Saweetie,71,2362368,8,224,0,0
Nonô,52,9938,17,321,0,0
BIBI,66,1596121,9,315,0,0
Princesa Alba,52,228583,7,186,0,0
Love Renaissance (LVRN),37,5931,10,339,0,0
2 Chainz,76,8112634,3,163,0,0
LAYA,37,34759,8,260,0,0
Vedo,62,526413,4,173,0,0
OG Parker,52,25134,17,418,0,0
Kidd Kenn,39,16482,7,155,0,0
Leyla Blue,48,106511,8,222,0,0
REI AMI,54,152250,9,447,0,0
Bruised Soundtrack,26,4119,15,360,0,0
Precious,24,21581,5,92,0,0
Sainvil,12,2866,5,80,0,0
James Vickery,48,135018,9,179,0,0
Mia Rodriguez,45,94540,7,113,0,0
Childish Major,43,118226,9,186,0,0
KyleYouMadeThat,32,8184,19,265,0,0
Yvette,23,319,7,123,0,0
Siena Liggins,28,11540,6,96,0,0
Tkay Maidza,53,205426,9,230,0,0
Drug Flash,22,5923,6,43,1,0
KETONE,19,171,12,59,1,0
Joel Alex,0,33,2,12,1,0
Xterror,0,34,6,37,3,0
BREVTHE,8,37,7,21,1,0
Jonas Andersen,1,96,8,21,1,0
DJ Benjamín Torres,10,351,12,22,1,0
GR3Y Beats,0,0,5,20,1,0
Ravevx,0,48,7,12,1,0
AKSD,0,10,3,12,1,0
GJBR,0,25,3,12,1,0
Lost in Void,0,114,4,0,0,0
Suyash,11,238,11,38,1,0
Kubic,8,139,5,38,1,0
Hysaze,41,2722,11,60,1,0
V3NTOM,3,345,7,28,2,0
Vismay,1,61,2,20,1,0
Electric Entity,0,0,2,19,1,0
Sridevi Suresh,0,19,2,8,1,0
Keerthisiva Murugesan,4,93,7,12,1,0
Freak Freely,48,1672,3,134,1,0
Jessie Murph,76,1111045,7,476,1,0
CYRIL,80,283133,19,367,1,0
Tiago PZK,81,5385275,20,249,1,0
X Ambassadors,73,3034473,11,211,1,0
Jac Ross,52,88800,5,269,1,0
Armin van Buuren,76,4421181,2,96,0,0
Matoma,63,712706,12,63,0,0
Paloma Faith,67,1297608,6,153,1,0
MK,68,306496,16,589,0,0
ILLENIUM,72,1538378,16,325,0,0
Will Clarke,44,53490,19,255,1,0
Meghan Trainor,80,15417178,6,80,0,0
Mitchell Tenpenny,66,535716,7,187,0,0
Thomas Rhett,75,4762038,2,75,0,0
Jessalyn,23,366,14,119,2,0
IAN SIZE,34,1245,10,133,1,0
James O'Hea,9,369,16,178,1,0
Jako Diaz,45,8125,24,205,1,0
OMERGY,39,417,31,274,1,0
CHPTR.,26,1219,15,199,1,0
Astonique,29,193,7,142,1,0
DXSTN,19,2118,13,59,1,0
ASTREA,8,178,5,59,1,0
HORT2N,34,370,22,148,1,0
Jonas Eb,23,1718,14,266,1,0
Konn,27,1582,20,139,0,0
Hadi X,16,1270,4,50,1,0
Kerfo,2,92,10,50,1,0
Arize,23,1679,4,55,1,0
TIANBO,34,153,6,116,0,0
Lind,42,300,8,116,0,0
Indicate,40,519,9,154,0,0
WAYWHEN,13,206,2,13,0,0
Michael Ghelfi,38,53960,4,77,0,0
Filip Melvan,36,786,3,77,0,0
Daniel Prisco-Buxbaum,3,48,3,77,0,0
Paul Aristo,8,379,2,8,0,0
dylanVO,4,23,1,4,0,0
Lightscape,24,2070,2,24,0,0
KONKRD,0,66,1,0,0,0
Brandy,69,3745476,9,226,0,0
Monica,65,2642802,7,226,0,0
Mariah Carey,80,10524489,1,80,0,0
The Blessed Madonna,68,102769,19,954,0,0
Kelly Clarkson,74,10608407,3,133,0,0
Kid Cudi,80,7253195,5,246,0,0
Demi Lovato,78,26761344,4,236,0,0
Idina Menzel,71,500129,4,71,0,0
Social House,65,162175,7,209,0,0
Victoria Monét,69,1144886,11,314,0,0
Lizzo,70,5716804,11,555,0,0
Charly from Space,33,370,7,178,1,0
Hannah Vey,30,133,4,102,1,0
Miou Miou,4,15,4,76,1,0
Marcello,0,1,3,43,1,0
Nick Sterling,43,830,8,115,1,0
hmny.,39,370,19,182,1,0
Natalia Russo,33,275,9,109,1,0
ENROSA,36,1505,6,103,1,0
Stephen Geisler,32,1351,15,206,1,0
MAD3,28,264,10,177,1,0
TRNOUT,27,382,6,95,1,0
Sane Music,29,1008,16,179,1,0
Nvro,32,2893,6,100,1,0
Honey Gee,24,1148,12,63,1,0
Sped Up Mage,49,26519,5,108,0,0
Syrex,59,120030,8,189,0,0
Luigi Neighbours,17,206,24,196,1,0
Svniivan,38,3452,11,247,0,0
Jon Becker,40,5323,23,251,1,0
Yunay,25,1296,20,135,1,0
DJ Sticx,25,690,11,180,1,0
Lost Heroes,23,1208,17,204,0,0
H3RØ,16,442,25,265,1,0
Lery,4,43,7,43,1,0
lazyhuman,7,73,8,26,1,0
AK-ID,0,56,5,24,1,0
Carry,0,28,6,29,1,0
YUEM,0,4,3,19,1,0
Admstss,0,8,4,19,1,0
Awakcn,10,268,11,144,1,0
Julius Beat,10,6679,11,10,0,0
SPINALL,59,639019,20,647,1,0
Omah Lay,76,3442526,18,376,1,0
Tems,78,2451977,7,424,1,0
Skillibeng,66,417372,16,384,1,0
Kelvin Momo,63,2093973,18,140,1,0
Ayra Starr,79,3755805,21,686,1,0
DJ Lag,47,44711,23,164,1,0
Kooldrink,40,3017,16,434,1,0
Daliwonga,53,1288734,21,105,0,0
Marioo,52,320918,10,52,0,0
ShaunMusiq & Ftears,52,91453,18,105,0,0
Rookie P,38,383,1,38,0,0
Major League Djz,54,884607,18,214,0,0
Kudzie Kayz,4,40,1,4,0,0
YUNG NA$A,1,12,1,1,0,0
ES-RINKAN,1,16,2,1,0,0
Cyberpunk,15,84,2,38,1,0
贾义秉,1,14,7,24,1,0
R.Fia任菲菲,0,19,5,24,1,0
Koda Ends,10,99,13,141,2,0
JAMES.C,3,162,4,26,1,0
Vincentz,19,456,7,42,1,0
The Applepolishers,0,0,3,42,1,0
Clear Sky,2,37,5,97,1,0
EM,27,656,20,181,3,0
J.C.Zhou,4,15,10,30,1,0
姚源,0,2,5,27,1,0
故煢,0,21,4,23,1,0
Onism.,0,1,5,23,1,0
FREENESS,0,4,2,23,1,0
The Yes,0,0,3,26,1,0
VANGUARD RECORDS,3,87,24,20,1,0
SlYder,24,9464,19,87,0,0
Garry Ocean,21,1074,15,45,0,0
Ben Leuman,38,377,16,240,1,0
OUTSHADES,14,559,21,154,1,0
Destiny Hooks,9,245,16,104,1,0
FRANZSAIJEM,1,83,11,77,1,0
Malin Horsevik,33,279,15,153,2,0
Wolfpup,19,487,15,135,2,0
Gabe Tarlton,34,258,1,34,0,0
Anj Jimenez,15,1587,12,15,0,0
GABI,0,13,2,24,1,0
Fazzi,25,1668,11,51,1,0
FRENTCH,4,103,4,51,1,0
Korskyrkan Sthlm,24,428,2,24,0,0
YLLOW,27,596,24,266,2,0
Kris Kiss,42,5875,23,106,1,0
Nickless,40,8811,4,40,0,0
Honey-B-Sweet,31,10824,14,80,1,0
Simon Miles,30,864,17,92,1,0
Kxne,37,1071,18,137,1,0
Babz Wayne,33,327,18,105,1,0
Zack Torrez,23,345,23,188,1,0
Sascha Nell,18,455,23,276,1,0
FER,1,258,11,49,1,0
Soë Blue,1,223,6,26,1,0
Zoree,3,703,10,58,1,0
Tritonal Tritonia Radio,6,9445,2,59,0,0
NONS!DES,17,9,3,63,1,0
De La Trinidad,17,917,15,158,2,0
Shamil,30,733,11,59,1,0
Agus Zack,24,4176,20,160,1,0
FER MCQUEEN,18,173,5,71,1,0
Drizon,25,254,9,108,2,0
Strybo,28,3121,19,177,1,0
Saxaq,16,199,12,72,1,0
Max Roven,17,685,15,62,1,0
Diego Antoine,18,1077,14,18,0,0
Pili Rend,1,121,8,58,1,0
SALEEM,17,853,14,206,2,0
SMALL BEAT,3,173,11,33,1,0
Zeeth,22,726,7,59,0,0
Cole The VII,15,309,20,66,1,0
Censse,9,351,15,141,2,0
Flexin,8,888,8,46,1,0
Puma Reyes,1,136,12,100,1,0
John Camir,13,590,16,141,2,0
Mellark Hoonds,4,275,24,87,1,0
Girwells,1,122,10,30,1,0
Andrew Madness,8,158,6,37,1,0
AAO,1,190,12,30,1,0
Lowbroz,21,509,15,94,1,0
Joe Stks,23,1211,9,94,1,0
Fran Valdivieso,20,1456,11,20,0,0
